profile,timestamp,http_status,duration_ms,error_type,message
spike,2026-09-10T10:48:18+07:00,500,566.843,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:18+07:00,500,602.228,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:18+07:00,500,251.194,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,530.898,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,530.6,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,487.17,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,411.407,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,389.993,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,475.312,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,440.707,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,219.561,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,501.605,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,286.621,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,289.536,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,453.013,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,505.195,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,363.84,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,370.47,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,333.569,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,401.409,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,239.086,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,429.692,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:19+07:00,500,290.359,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,266.564,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,378.088,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,381.417,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,440.323,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,391.653,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,495.937,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,524.742,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,365.062,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,496.561,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,282.96,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,411.295,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,291.023,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,323.419,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,384.528,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,460.612,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,414.045,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,428.7,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,450.652,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,451.028,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:20+07:00,500,509.966,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,618.031,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,385.094,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,397.4,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,524.095,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,776.336,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,666.38,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,523.912,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,743.723,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,490.458,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,593.576,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,528.34,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,594.671,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,573.634,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,772.796,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,811.81,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,523.058,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,479.471,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,751.998,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,523.584,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,523.226,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:21+07:00,500,650.796,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,804.236,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,805.246,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,717.27,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,570.505,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,602.887,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,815.496,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,679.985,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,557.284,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,574.648,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,512.941,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,685.438,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,614.385,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,791.57,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,613.694,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,654.466,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,658.53,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,605.469,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,663.105,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,847.424,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,585.927,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,615.502,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,759.238,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,705.043,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:22+07:00,500,733.089,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,721.216,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,710.648,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,796.002,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,651.308,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,992.787,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,1048.355,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,682.919,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,675.615,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,913.662,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,1016.296,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,791.628,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,674.512,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,691.445,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,810.161,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:23+07:00,500,867.606,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,696.546,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,701.926,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,907.521,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,879.667,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,934.02,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,921.771,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,966.473,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,830.394,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,774.999,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,911.446,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,881.712,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,842.936,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,873.624,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,680.264,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,966.929,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,698.28,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,756.89,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,775.424,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,810.379,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,811.323,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,868.372,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,759.581,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,969.485,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:24+07:00,500,843.703,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1042.239,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1088.712,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1099.16,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1150.052,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1249.516,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1165.088,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1216.444,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1215.922,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1356.279,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1367.861,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1530.624,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:25+07:00,500,1256.453,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1170.257,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1170.562,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1307.667,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1191.107,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1295.765,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1307.693,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1302.969,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1200.719,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1457.767,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1049.569,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1317.246,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1273.898,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1006.652,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,904.928,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,940.381,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,913.405,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1010.07,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1031.946,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,993.655,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,915.769,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,915.771,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1112.918,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1125.535,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1226.316,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1012.685,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:26+07:00,500,1020.333,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,979.707,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,906.945,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,921.594,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1059.247,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,931.029,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1203.249,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1214.899,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1047.939,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1047.992,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1340.024,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1067.799,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,928.69,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1190.638,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1223.599,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:27+07:00,500,1174.317,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1475.551,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1112.073,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1198.51,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1143.216,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1401.235,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1350.777,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1340.719,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1348.275,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1185.617,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1454.662,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1250.294,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1305.072,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1309.109,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1358.484,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:28+07:00,500,1225.46,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1520.786,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1174.342,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1171.999,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1208.867,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1182.843,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1156.516,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1176.606,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1587.937,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1189.315,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1189.115,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1299.138,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1211.236,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,880.771,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1035.388,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1069.871,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1077.062,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1077.119,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,982.843,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:29+07:00,500,1123.523,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1277.844,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,998.555,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1051.523,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1282.682,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,991.407,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1004.779,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1171.454,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1024.146,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1060.646,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1151.84,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1269.579,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1210.957,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1314.653,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1437.611,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1379.81,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1385.444,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:30+07:00,500,1053.004,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1344.476,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1291.023,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1503.13,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1251.281,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1395.994,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1197.126,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1181.987,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1078.603,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1218.729,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1276.496,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1299.129,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1211.148,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1201.323,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1236.193,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1015.875,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1150.183,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1017.14,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1215.016,PDOException,SQLSTATE[08004] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1316.415,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1190.292,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1061.007,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1137.308,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1051.489,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1027.703,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1004.043,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,1066.24,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:31+07:00,500,793.878,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:32+07:00,500,1139.314,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:32+07:00,500,929.006,PDOException,SQLSTATE[HY000] [1040] Too many connections
spike,2026-09-10T10:48:32+07:00,500,1165.808,PDOException,SQLSTATE[HY000] [1040] Too many connections
